"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"06.04.2023","23,56","23,20","23,63","23,15","108,20K","1,73%"
"05.04.2023","23,16","24,04","24,28","22,98","935,40K","-3,66%"
"04.04.2023","24,04","23,96","24,12","23,77","449,90K","1,01%"
"03.04.2023","23,80","24,06","24,14","23,77","398,70K","-1,24%"
"31.03.2023","24,10","24,30","24,38","24,00","392,50K","-0,04%"
"30.03.2023","24,11","24,54","24,90","24,05","618,60K","-1,75%"
"29.03.2023","24,54","25,68","25,75","24,37","606,80K","-4,29%"
"28.03.2023","25,64","24,73","25,75","24,70","396,60K","3,64%"
"27.03.2023","24,74","24,13","24,77","24,13","379,70K","3,04%"
"24.03.2023","24,01","23,88","24,36","23,73","353,30K","0,88%"
"23.03.2023","23,80","24,28","24,63","23,61","552,90K","-2,02%"
"22.03.2023","24,29","25,09","25,09","24,29","368,40K","-3,19%"
"21.03.2023","25,09","24,42","25,09","24,40","426,50K","2,74%"
"20.03.2023","24,42","24,49","24,75","24,33","269,90K","-0,45%"
"17.03.2023","24,53","24,70","24,71","24,30","787,70K","-1,37%"
"16.03.2023","24,87","24,80","25,25","24,48","465,30K","-0,28%"
"15.03.2023","24,94","25,17","25,17","24,46","576,30K","-0,87%"
"14.03.2023","25,16","25,51","25,51","24,82","830,30K","-1,45%"
"13.03.2023","25,53","25,99","25,99","25,40","512,90K","-2,15%"
"10.03.2023","26,09","26,14","26,27","25,80","363,80K","-0,19%"
"09.03.2023","26,14","26,19","26,54","25,92","535,10K","-0,31%"
"08.03.2023","26,22","26,45","26,86","26,20","512,20K","-0,87%"
"07.03.2023","26,45","26,79","27,12","26,27","364,90K","-1,08%"
"06.03.2023","26,74","26,36","26,96","26,36","281,60K","1,56%"
"03.03.2023","26,33","26,15","26,60","26,12","278,10K","0,65%"
"02.03.2023","26,16","25,74","26,90","25,74","656,20K","1,71%"
"01.03.2023","25,72","26,01","26,68","25,68","796,20K","-0,85%"
"28.02.2023","25,94","26,41","26,58","25,86","526,20K","-1,18%"
"27.02.2023","26,25","26,27","26,49","26,00","220,80K","0,00%"
"24.02.2023","26,25","26,10","26,67","25,98","293,80K","0,00%"
"23.02.2023","26,25","26,26","26,60","26,05","325,00K","-0,04%"
"22.02.2023","26,26","26,48","26,82","26,06","299,00K","-0,87%"
"17.02.2023","26,49","26,50","26,73","26,43","236,40K","-0,08%"
"16.02.2023","26,51","26,84","26,99","26,40","323,20K","-1,23%"
"15.02.2023","26,84","26,27","26,88","26,27","292,60K","2,09%"
"14.02.2023","26,29","26,81","26,99","26,28","451,60K","-2,05%"
"13.02.2023","26,84","27,01","27,45","26,80","339,50K","-0,63%"
"10.02.2023","27,01","26,44","27,01","26,27","427,60K","1,77%"
"09.02.2023","26,54","27,71","27,89","26,44","819,30K","-4,22%"
"08.02.2023","27,71","27,60","27,98","26,85","1,11M","-3,28%"
"07.02.2023","28,65","29,17","29,65","28,57","503,10K","-1,78%"
"06.02.2023","29,17","29,01","29,30","28,45","547,90K","0,66%"
"03.02.2023","28,98","29,28","29,55","28,86","392,60K","-0,99%"
"02.02.2023","29,27","29,32","29,78","29,06","275,20K","-0,20%"
"01.02.2023","29,33","30,20","30,20","28,85","710,70K","-1,58%"
"31.01.2023","29,80","29,52","30,08","29,36","494,30K","1,33%"
"30.01.2023","29,41","29,55","29,86","29,10","276,50K","-0,47%"
"27.01.2023","29,55","30,22","30,63","29,52","376,10K","-2,22%"
"26.01.2023","30,22","29,60","30,39","29,26","459,60K","2,09%"
