"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"06.04.2023","179,24","178,88","179,59","178,63","2,67K","0,20%"
"05.04.2023","178,89","179,36","180,46","178,37","8,86K","-0,26%"
"04.04.2023","179,36","179,88","181,00","178,55","5,91K","-0,29%"
"03.04.2023","179,88","181,40","182,99","178,44","8,69K","-1,38%"
"31.03.2023","182,40","181,48","182,50","180,08","8,54K","0,51%"
"30.03.2023","181,48","180,12","182,00","178,50","8,79K","0,75%"
"29.03.2023","180,13","179,40","181,21","179,00","7,51K","0,41%"
"28.03.2023","179,40","178,75","179,93","178,75","4,82K","0,39%"
"27.03.2023","178,70","178,11","179,74","177,80","5,94K","0,33%"
"24.03.2023","178,11","177,79","179,00","177,57","4,91K","0,17%"
"23.03.2023","177,80","177,50","177,99","177,01","5,61K","0,17%"
"22.03.2023","177,50","177,11","178,19","176,25","11,04K","0,23%"
"21.03.2023","177,10","177,55","177,55","176,05","15,01K","0,32%"
"20.03.2023","176,54","178,00","178,00","176,54","18,22K","-0,67%"
"17.03.2023","177,73","179,45","179,93","177,20","12,54K","-0,53%"
"16.03.2023","178,68","178,52","179,78","178,52","9,18K","0,08%"
"15.03.2023","178,54","179,10","179,95","178,20","9,39K","-0,18%"
"14.03.2023","178,87","178,22","183,15","177,00","16,88K","0,37%"
"13.03.2023","178,21","177,41","178,50","176,93","9,09K","0,39%"
"10.03.2023","177,51","177,51","178,79","176,67","10,00K","0,02%"
"09.03.2023","177,48","179,43","179,62","176,30","25,15K","-1,09%"
"08.03.2023","179,43","178,24","179,70","178,24","5,49K","0,67%"
"07.03.2023","178,23","178,78","179,00","177,65","8,75K","-0,31%"
"06.03.2023","178,78","179,87","179,90","178,78","12,76K","0,00%"
"03.03.2023","178,78","179,38","179,50","177,33","13,99K","-0,33%"
"02.03.2023","179,37","179,95","179,95","178,50","11,04K","0,66%"
"01.03.2023","178,20","182,55","184,98","174,80","59,69K","-1,88%"
"28.02.2023","181,62","184,46","188,00","181,54","16,58K","-1,54%"
"27.02.2023","184,46","184,00","185,97","183,50","9,42K","0,63%"
"24.02.2023","183,30","182,99","183,43","182,00","10,89K","0,17%"
"23.02.2023","182,99","182,00","183,39","181,50","7,44K","0,54%"
"22.02.2023","182,00","180,10","183,50","180,10","5,65K","1,05%"
"17.02.2023","180,10","179,28","180,10","178,50","5,80K","0,33%"
"16.02.2023","179,50","180,10","180,10","178,75","7,44K","-0,33%"
"15.02.2023","180,10","180,07","180,72","179,16","7,28K","0,02%"
"14.02.2023","180,07","179,25","180,46","179,00","6,60K","0,47%"
"13.02.2023","179,23","179,45","181,78","179,00","6,82K","-0,12%"
"10.02.2023","179,45","181,00","181,31","179,10","6,43K","-1,01%"
"09.02.2023","181,29","181,84","182,86","181,10","5,46K","-0,30%"
"08.02.2023","181,84","182,50","182,92","181,05","4,92K","-0,36%"
"07.02.2023","182,50","182,50","182,95","182,28","3,36K","0,00%"
"06.02.2023","182,50","182,50","182,54","182,08","4,39K","0,00%"
"03.02.2023","182,50","181,79","183,70","181,08","11,91K","0,39%"
"02.02.2023","181,79","181,56","181,91","180,50","6,43K","0,53%"
"01.02.2023","180,83","182,52","183,28","180,00","15,79K","-1,72%"
"31.01.2023","184,00","182,00","185,75","182,00","7,08K","1,10%"
"30.01.2023","182,00","185,60","185,72","182,00","16,63K","-1,94%"
"27.01.2023","185,60","185,66","186,30","185,60","4,53K","-0,03%"
"26.01.2023","185,66","186,02","186,72","185,25","6,05K","-0,19%"
"25.01.2023","186,01","185,84","186,85","185,00","6,09K","0,09%"
"24.01.2023","185,84","182,60","186,97","182,60","13,17K","1,77%"
"23.01.2023","182,60","184,97","186,00","182,60","5,84K","-0,94%"
"20.01.2023","184,34","184,00","184,97","183,00","9,19K","-0,36%"
"19.01.2023","185,00","185,39","186,98","184,08","6,94K","-0,21%"
"18.01.2023","185,39","184,81","186,68","182,81","6,46K","0,32%"
"17.01.2023","184,80","187,27","188,38","184,47","11,51K","-1,32%"
"16.01.2023","187,27","188,00","188,36","183,08","7,25K","-0,59%"
"13.01.2023","188,38","183,23","188,96","182,16","7,03K","2,81%"
"12.01.2023","183,23","182,01","183,50","180,64","8,00K","0,84%"
"11.01.2023","181,71","181,72","185,00","181,12","6,77K","0,08%"
"10.01.2023","181,57","180,22","185,91","180,22","8,11K","0,81%"
"09.01.2023","180,11","180,57","182,00","180,11","9,23K","-0,25%"
"06.01.2023","180,56","183,80","184,07","180,11","12,27K","-1,40%"
"05.01.2023","183,13","182,15","184,49","182,15","3,91K","0,63%"
"04.01.2023","181,99","189,31","189,62","181,99","11,69K","-3,85%"
"03.01.2023","189,28","190,88","190,88","187,53","5,48K","0,57%"
"02.01.2023","188,20","190,00","190,64","187,00","9,25K","-1,02%"
"29.12.2022","190,14","186,00","190,72","186,00","5,39K","2,47%"
"28.12.2022","185,55","185,04","186,93","184,36","8,32K","0,28%"
"27.12.2022","185,04","184,32","186,34","184,32","4,97K","0,39%"
"26.12.2022","184,32","184,28","186,89","184,01","5,44K","0,02%"
"23.12.2022","184,28","186,50","188,90","183,40","10,40K","-1,06%"
"22.12.2022","186,26","184,05","186,89","184,05","6,13K","1,20%"
"21.12.2022","184,05","183,10","184,70","182,99","7,14K","0,57%"
"20.12.2022","183,00","181,19","184,53","181,19","9,15K","1,00%"
"19.12.2022","181,19","181,00","182,23","180,50","7,02K","0,10%"
"16.12.2022","181,00","180,16","181,85","177,24","11,68K","-0,59%"
"15.12.2022","182,08","182,11","184,88","182,00","6,17K","0,01%"
"14.12.2022","182,06","182,70","185,99","182,00","9,75K","-0,12%"
"13.12.2022","182,28","186,54","187,43","182,20","8,33K","-2,28%"
"12.12.2022","186,54","187,16","187,98","186,14","5,95K","-0,33%"
"09.12.2022","187,16","187,54","188,50","186,67","3,54K","-0,20%"
"08.12.2022","187,54","189,00","189,18","187,24","6,02K","-0,54%"
"07.12.2022","188,55","188,75","189,50","187,81","5,73K","-0,11%"
"06.12.2022","188,75","189,84","191,13","188,40","4,08K","-0,35%"
"05.12.2022","189,42","190,25","191,99","187,72","5,93K","-0,45%"
"02.12.2022","190,27","190,92","192,32","186,00","7,69K","-0,34%"
"01.12.2022","190,92","190,17","192,51","189,90","14,36K","0,78%"
"30.11.2022","189,44","188,80","190,31","188,80","6,63K","0,34%"
"29.11.2022","188,80","188,64","190,45","188,63","5,89K","-0,64%"
"28.11.2022","190,03","190,53","191,95","190,03","5,13K","-0,26%"
"25.11.2022","190,53","189,57","191,94","188,96","5,28K","0,51%"
"24.11.2022","189,57","187,72","192,56","187,05","4,42K","0,99%"
"23.11.2022","187,72","189,31","190,43","187,72","8,48K","-1,05%"
