"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"06.04.2023","3,66","3,73","3,75","3,65","637,70K","-1,08%"
"05.04.2023","3,70","3,71","3,79","3,65","2,31M","0,00%"
"04.04.2023","3,70","3,71","3,74","3,65","2,52M","0,00%"
"03.04.2023","3,70","3,73","3,74","3,62","3,35M","0,00%"
"31.03.2023","3,70","3,79","3,83","3,69","3,18M","-2,63%"
"30.03.2023","3,80","3,78","3,90","3,77","2,18M","1,33%"
"29.03.2023","3,75","3,85","3,86","3,65","2,87M","-1,32%"
"28.03.2023","3,80","3,68","3,83","3,65","2,28M","2,98%"
"27.03.2023","3,69","3,63","3,74","3,61","2,63M","3,36%"
"24.03.2023","3,57","3,51","3,60","3,47","4,06M","1,71%"
"23.03.2023","3,51","3,64","3,66","3,45","3,93M","-3,31%"
"22.03.2023","3,63","3,68","3,77","3,62","3,34M","-1,09%"
"21.03.2023","3,67","3,75","3,75","3,66","2,75M","-1,34%"
"20.03.2023","3,72","3,89","3,94","3,72","6,26M","-4,12%"
"17.03.2023","3,88","4,08","4,08","3,66","33,78M","-7,66%"
"16.03.2023","4,20","4,26","4,26","4,15","3,57M","-1,82%"
"15.03.2023","4,28","4,14","4,32","4,06","5,39M","1,90%"
"14.03.2023","4,20","4,20","4,27","4,13","3,51M","0,48%"
"13.03.2023","4,18","4,14","4,22","4,05","4,50M","0,00%"
"10.03.2023","4,18","4,21","4,24","4,02","6,38M","-2,11%"
"09.03.2023","4,27","4,41","4,43","4,25","4,53M","-3,17%"
"08.03.2023","4,41","4,23","4,45","4,20","3,99M","4,26%"
"07.03.2023","4,23","4,27","4,31","4,18","1,93M","-0,70%"
"06.03.2023","4,26","4,20","4,30","4,15","1,68M","1,91%"
"03.03.2023","4,18","4,24","4,30","4,15","1,57M","-1,42%"
"02.03.2023","4,24","4,32","4,45","4,24","2,21M","-1,85%"
"01.03.2023","4,32","4,28","4,33","4,15","4,73M","2,13%"
"28.02.2023","4,23","4,52","4,57","4,23","7,22M","-6,42%"
"27.02.2023","4,52","4,63","4,63","4,50","2,30M","-2,38%"
"24.02.2023","4,63","4,72","4,80","4,60","1,35M","-1,70%"
"23.02.2023","4,71","4,65","4,73","4,58","1,53M","1,51%"
"22.02.2023","4,64","4,70","4,74","4,62","3,89M","-1,28%"
"17.02.2023","4,70","4,78","4,78","4,70","1,56M","-2,08%"
"16.02.2023","4,80","4,79","4,87","4,71","1,85M","-0,21%"
"15.02.2023","4,81","4,79","4,90","4,70","1,52M","0,58%"
"14.02.2023","4,78","4,86","4,90","4,72","1,67M","-2,61%"
"13.02.2023","4,91","4,81","4,99","4,78","1,27M","2,29%"
"10.02.2023","4,80","4,75","4,86","4,70","2,01M","1,05%"
"09.02.2023","4,75","4,91","4,98","4,74","7,32M","-3,26%"
"08.02.2023","4,91","4,85","4,98","4,82","2,15M","2,29%"
"07.02.2023","4,80","4,87","4,88","4,76","2,61M","-0,83%"
"06.02.2023","4,84","5,00","5,01","4,83","1,70M","-3,97%"
"03.02.2023","5,04","5,05","5,08","4,99","2,42M","-0,20%"
"02.02.2023","5,05","5,12","5,25","5,05","2,50M","-0,59%"
"01.02.2023","5,08","5,14","5,18","5,02","2,36M","-1,36%"
"31.01.2023","5,15","5,02","5,22","4,98","2,71M","2,59%"
"30.01.2023","5,02","5,02","5,13","5,01","1,58M","0,20%"
"27.01.2023","5,01","5,12","5,12","4,98","1,54M","-1,18%"
"26.01.2023","5,07","5,00","5,14","4,99","4,32M","1,40%"
"25.01.2023","5,00","4,78","5,02","4,75","2,80M","4,17%"
"24.01.2023","4,80","4,80","4,90","4,75","3,56M","0,21%"
"23.01.2023","4,79","4,82","4,88","4,79","2,36M","-0,42%"
"20.01.2023","4,81","4,88","4,93","4,78","1,98M","-1,64%"
"19.01.2023","4,89","4,76","4,93","4,67","3,77M","2,30%"
"18.01.2023","4,78","4,90","4,99","4,71","5,39M","-0,62%"
"17.01.2023","4,81","4,75","4,89","4,67","2,70M","2,56%"
"16.01.2023","4,69","4,76","4,78","4,68","1,90M","-1,47%"
"13.01.2023","4,76","4,88","4,92","4,75","2,64M","-2,66%"
"12.01.2023","4,89","4,95","5,04","4,87","2,25M","-1,21%"
"11.01.2023","4,95","4,96","4,97","4,83","2,87M","0,81%"
"10.01.2023","4,91","4,78","4,97","4,72","2,98M","2,51%"
"09.01.2023","4,79","4,75","4,91","4,67","2,78M","-1,44%"
"06.01.2023","4,86","4,93","5,15","4,81","4,28M","-1,22%"
"05.01.2023","4,92","4,80","4,96","4,73","3,09M","2,71%"
"04.01.2023","4,79","4,81","4,84","4,70","1,89M","-0,21%"
"03.01.2023","4,80","4,86","4,95","4,76","2,10M","-1,64%"
"02.01.2023","4,88","5,01","5,01","4,81","1,36M","-2,79%"
"29.12.2022","5,02","5,16","5,27","5,00","1,84M","-2,52%"
"28.12.2022","5,15","5,08","5,21","5,01","1,90M","4,46%"
"27.12.2022","4,93","5,14","5,16","4,93","1,66M","-3,52%"
"26.12.2022","5,11","5,09","5,17","5,03","792,20K","0,39%"
"23.12.2022","5,09","4,95","5,18","4,95","1,78M","2,83%"
"22.12.2022","4,95","5,01","5,05","4,87","1,93M","-1,00%"
"21.12.2022","5,00","5,00","5,11","4,90","1,72M","0,40%"
"20.12.2022","4,98","4,80","5,05","4,78","2,99M","3,53%"
