"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"06.04.2023","6,42","6,38","6,52","6,30","2,52M","0,00%"
"05.04.2023","6,42","6,23","6,45","6,16","6,78M","2,39%"
"04.04.2023","6,27","6,16","6,35","6,15","6,62M","2,12%"
"03.04.2023","6,14","6,35","6,45","6,09","8,83M","-3,76%"
"31.03.2023","6,38","6,79","6,86","6,25","17,40M","-7,13%"
"30.03.2023","6,87","6,83","6,96","6,72","6,76M","2,08%"
"29.03.2023","6,73","6,89","6,91","6,59","13,93M","-2,04%"
"28.03.2023","6,87","7,03","7,08","6,82","11,29M","-2,83%"
"27.03.2023","7,07","7,13","7,16","6,93","9,93M","-0,42%"
"24.03.2023","7,10","7,05","7,33","6,94","8,36M","1,57%"
"23.03.2023","6,99","7,80","7,93","6,72","24,39M","-6,80%"
"22.03.2023","7,50","7,23","7,69","7,23","16,93M","4,60%"
"21.03.2023","7,17","7,12","7,20","6,94","6,83M","0,70%"
"20.03.2023","7,12","7,32","7,68","7,06","14,82M","-1,93%"
"17.03.2023","7,26","7,60","7,60","7,13","13,76M","-5,22%"
"16.03.2023","7,66","7,51","7,97","7,45","23,31M","2,82%"
"15.03.2023","7,45","6,87","7,49","6,83","19,71M","7,19%"
"14.03.2023","6,95","6,93","7,07","6,81","18,70M","0,72%"
"13.03.2023","6,90","6,32","6,91","6,18","22,86M","7,31%"
"10.03.2023","6,43","6,29","6,50","6,09","16,49M","1,42%"
"09.03.2023","6,34","6,00","6,47","5,82","26,75M","6,38%"
"08.03.2023","5,96","5,70","6,03","5,68","18,38M","4,75%"
"07.03.2023","5,69","5,74","5,80","5,59","5,98M","-0,87%"
"06.03.2023","5,74","5,56","5,76","5,52","8,71M","3,80%"
"03.03.2023","5,53","5,64","5,69","5,51","8,99M","-1,60%"
"02.03.2023","5,62","5,72","5,79","5,60","18,21M","-1,40%"
"01.03.2023","5,70","6,00","6,00","5,67","18,19M","-3,39%"
"28.02.2023","5,90","6,19","6,26","5,88","20,68M","-4,22%"
"27.02.2023","6,16","6,20","6,24","6,07","7,11M","0,00%"
"24.02.2023","6,16","6,33","6,37","6,10","7,45M","-2,38%"
"23.02.2023","6,31","6,22","6,33","6,18","6,81M","1,45%"
"22.02.2023","6,22","6,30","6,32","6,17","5,79M","-1,58%"
"17.02.2023","6,32","6,38","6,42","6,24","8,14M","-2,02%"
"16.02.2023","6,45","6,50","6,57","6,33","10,67M","-0,92%"
"15.02.2023","6,51","6,17","6,55","6,14","16,41M","5,85%"
"14.02.2023","6,15","6,20","6,31","6,07","10,03M","0,00%"
"13.02.2023","6,15","6,13","6,25","6,07","6,73M","0,49%"
"10.02.2023","6,12","6,05","6,17","6,00","8,34M","0,99%"
"09.02.2023","6,06","6,37","6,45","6,01","11,64M","-5,31%"
"08.02.2023","6,40","6,40","6,53","6,16","15,82M","0,63%"
"07.02.2023","6,36","6,53","6,87","6,31","24,23M","-1,55%"
"06.02.2023","6,46","6,56","6,56","6,31","14,80M","-1,67%"
"03.02.2023","6,57","7,00","7,03","6,57","24,79M","-5,74%"
"02.02.2023","6,97","6,85","7,18","6,77","16,67M","1,01%"
"01.02.2023","6,90","7,00","7,08","6,76","11,76M","-1,71%"
"31.01.2023","7,02","6,71","7,03","6,69","12,90M","4,93%"
"30.01.2023","6,69","6,86","6,94","6,67","8,94M","-1,91%"
"27.01.2023","6,82","7,09","7,13","6,82","10,20M","-3,67%"
"26.01.2023","7,08","6,97","7,13","6,95","13,75M","2,02%"
"25.01.2023","6,94","6,92","6,99","6,70","12,69M","0,29%"
"24.01.2023","6,92","6,84","6,95","6,71","11,75M","1,62%"
"23.01.2023","6,81","7,03","7,14","6,78","13,33M","-2,85%"
"20.01.2023","7,01","7,08","7,37","6,93","17,96M","-0,43%"
"19.01.2023","7,04","6,90","7,07","6,65","27,20M","-1,40%"
"18.01.2023","7,14","7,05","7,38","7,01","19,66M","2,44%"
"17.01.2023","6,97","7,03","7,14","6,83","21,14M","-0,29%"
"16.01.2023","6,99","7,17","7,26","6,94","9,15M","-2,78%"
"13.01.2023","7,19","7,52","7,52","7,17","11,02M","-5,27%"
"12.01.2023","7,59","7,79","7,82","7,55","8,92M","-2,94%"
"11.01.2023","7,82","7,87","7,93","7,52","5,59M","-0,13%"
"10.01.2023","7,83","7,50","7,97","7,40","8,20M","3,71%"
"09.01.2023","7,55","7,47","7,64","7,29","6,74M","0,00%"
"06.01.2023","7,55","7,50","7,78","7,29","12,67M","0,94%"
"05.01.2023","7,48","7,48","7,57","7,29","7,63M","0,94%"
"04.01.2023","7,41","7,19","7,44","7,10","9,04M","3,35%"
"03.01.2023","7,17","7,46","7,54","7,10","7,86M","-2,32%"
"02.01.2023","7,34","7,57","7,58","7,12","5,70M","-3,42%"
"29.12.2022","7,60","7,53","7,97","7,50","14,51M","1,33%"
"28.12.2022","7,50","7,16","7,51","7,08","10,55M","5,78%"
"27.12.2022","7,09","7,55","7,58","7,00","15,78M","-5,59%"
"26.12.2022","7,51","7,79","7,79","7,49","3,55M","-3,59%"
"23.12.2022","7,79","7,60","8,08","7,60","8,13M","2,50%"
"22.12.2022","7,60","7,60","7,67","7,42","5,56M","0,53%"
"21.12.2022","7,56","7,85","7,87","7,43","10,47M","-3,08%"
"20.12.2022","7,80","7,64","8,14","7,47","9,85M","1,96%"
"19.12.2022","7,65","7,52","7,77","7,40","14,24M","2,14%"
"16.12.2022","7,49","7,81","8,06","7,48","17,10M","-4,22%"
"15.12.2022","7,82","7,55","7,97","7,48","10,56M","2,89%"
"14.12.2022","7,60","7,50","7,69","7,19","10,49M","0,93%"
"13.12.2022","7,53","7,75","7,92","7,51","13,56M","-2,08%"
"12.12.2022","7,69","8,07","8,15","7,57","10,92M","-4,71%"
"09.12.2022","8,07","8,18","8,22","7,92","7,18M","-0,74%"
"08.12.2022","8,13","8,21","8,33","8,02","7,88M","-1,57%"
"07.12.2022","8,26","8,15","8,60","8,12","9,97M","1,35%"
"06.12.2022","8,15","8,09","8,24","8,03","7,29M","1,24%"
"05.12.2022","8,05","8,48","8,51","8,03","8,02M","-5,41%"
"02.12.2022","8,51","8,42","8,66","8,34","4,42M","1,67%"
"01.12.2022","8,37","8,56","8,56","8,27","6,66M","-2,56%"
"30.11.2022","8,59","8,51","8,67","8,20","8,50M","0,82%"
"29.11.2022","8,52","8,32","8,78","8,27","8,10M","2,77%"
"28.11.2022","8,29","8,33","8,39","8,17","4,25M","-0,24%"
"25.11.2022","8,31","8,55","8,56","8,22","5,65M","-2,81%"
"24.11.2022","8,55","8,43","8,68","8,38","4,04M","2,89%"
"23.11.2022","8,31","8,45","8,45","8,12","7,04M","-1,89%"
"22.11.2022","8,47","8,60","8,79","8,38","5,24M","-1,74%"
"21.11.2022","8,62","8,44","8,70","8,33","11,33M","2,62%"
"18.11.2022","8,40","8,75","9,16","8,29","14,12M","-2,44%"
"17.11.2022","8,61","8,50","8,71","7,99","17,11M","-0,35%"
"16.11.2022","8,64","9,01","9,09","8,37","17,56M","-4,42%"
"14.11.2022","9,04","9,03","9,43","8,83","11,51M","1,57%"
"11.11.2022","8,90","8,87","9,18","8,60","16,76M","0,23%"
"10.11.2022","8,88","9,00","9,34","8,57","18,86M","-6,03%"
"09.11.2022","9,45","9,73","9,84","9,29","21,86M","-3,57%"
"08.11.2022","9,80","9,78","9,92","9,57","6,73M","0,20%"
"07.11.2022","9,78","10,27","10,41","9,66","11,21M","-5,51%"
"04.11.2022","10,35","10,40","10,50","10,09","11,27M","1,57%"
"03.11.2022","10,19","9,99","10,46","9,92","10,92M","-1,26%"
"01.11.2022","10,32","10,25","10,52","9,97","16,43M","1,38%"
"31.10.2022","10,18","10,28","10,60","9,75","25,04M","3,98%"
"28.10.2022","9,79","9,59","10,07","9,54","13,24M","1,24%"
"27.10.2022","9,67","9,24","9,92","9,24","19,86M","5,34%"
"26.10.2022","9,18","9,17","9,40","9,03","16,01M","0,11%"
"25.10.2022","9,17","9,05","9,34","8,74","26,79M","1,21%"
"24.10.2022","9,06","9,27","9,42","8,97","24,41M","-2,69%"
"21.10.2022","9,31","10,02","10,05","9,07","26,50M","-7,18%"
"20.10.2022","10,03","9,79","10,14","9,59","14,91M","2,98%"
"19.10.2022","9,74","9,51","9,83","9,46","12,09M","2,31%"
"18.10.2022","9,52","9,48","9,60","9,19","21,30M","2,26%"
"17.10.2022","9,31","9,98","9,99","9,10","45,71M","-11,42%"
"14.10.2022","10,51","10,57","11,00","10,38","18,61M","-0,38%"
"13.10.2022","10,55","10,91","10,93","10,50","21,88M","-5,13%"
"11.10.2022","11,12","11,42","11,68","11,01","11,07M","-3,05%"
"10.10.2022","11,47","11,73","11,82","11,23","8,75M","-1,97%"
"07.10.2022","11,70","12,09","12,15","11,41","21,08M","-5,72%"
"06.10.2022","12,41","12,19","12,55","12,15","10,38M","2,14%"
"05.10.2022","12,15","12,24","12,36","11,90","8,68M","-0,16%"
"04.10.2022","12,17","12,93","13,02","12,04","10,67M","-4,17%"
"03.10.2022","12,70","12,70","13,17","12,47","21,91M","2,25%"
"30.09.2022","12,42","12,01","12,53","11,71","12,49M","3,07%"
"29.09.2022","12,05","12,16","12,29","11,62","7,12M","-3,14%"
"28.09.2022","12,44","11,51","12,47","11,38","18,56M","7,52%"
"27.09.2022","11,57","11,99","12,29","11,38","10,23M","-3,02%"
"26.09.2022","11,93","12,43","12,55","11,76","12,93M","-4,71%"
"23.09.2022","12,52","12,62","12,71","12,17","11,23M","-3,17%"
"22.09.2022","12,93","12,80","12,95","12,51","8,30M","1,33%"
"21.09.2022","12,76","12,50","13,00","12,50","8,16M","2,00%"
